% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=1036692, Mon Apr 25 15:07:46 2022, <python>{}</python>
1 5 0.06613777635053053 1.0000250003125026 0.0018399019307339544 1.8399019307339544e-03 0.023417192606331266 0.04579426104923606   
2 10 0.04344710165756515 1.0410406210100789 3.0298851825009306e-05 3.0298851825009306e-05 0.020111471723557504 0.028691500379845174   
3 15 0.03210468542166257 1.1836567257189659 3.0298851825009306e-05 1.5538280702481586e-03 0.0047691154249200314 0.008434929155828622   
4 20 0.02829151761707997 1.1234880674826804 3.0298851825009306e-05 3.7749040345771158e-05 0.0011838324322213307 0.0029448463615099753   
5 25 0.02083622908710763 1.090423701423187 3.0298851825009306e-05 1.1143152144820254e-04 0.0007115417125455148 0.003788171392167459   
6 30 0.015200180456559628 1.247531965596473 8.651364410191237e-06 8.6513644101912373e-06 0.00014211048130058064 0.00030116840753996346   
7 35 0.011983019515576867 1.28616383354148 7.706064662468722e-06 7.7060646624687223e-06 9.945282830503651e-05 0.0002187703803361389   
8 40 0.008870468459452144 1.2990069798894388 7.706064662468722e-06 1.4074643965409286e-05 5.98068271140304e-05 0.00012241935422202334   
9 45 0.007874658812875109 1.2787175635287598 4.927257068863896e-06 4.9272570688638956e-06 3.904239046738508e-05 0.00019611576969161856   
10 50 0.005197059849370507 1.3818277580260925 4.927257068863896e-06 1.4955485409805624e-05 2.4801503032979978e-05 8.558754178248788e-05   
11 55 0.007329447254559397 1.252053192507913 4.927257068863896e-06 7.1712193271792546e-06 1.2110257963496058e-05 2.6058229278939872e-05   
12 60 0.007473803807542333 1.5286854171872613 4.927257068863896e-06 1.9117412972935102e-05 3.0099253295291697e-05 7.835486760295191e-05   
13 65 0.005539107049585608 1.5169448038128681 4.875313334417101e-07 4.8753133344171015e-07 2.368255203724176e-05 0.00012638673198130319   
14 70 0.0046129332150856095 1.4575965326000433 4.875313334417101e-07 5.0606696851942718e-06 1.0146809115264125e-05 1.748579005440989e-05   
15 75 0.004762257119341699 1.4420693466482946 4.875313334417101e-07 2.6805079675759881e-06 1.727744269932296e-05 4.753509674736134e-05   
16 80 0.004452905132399689 1.324016360504319 4.875313334417101e-07 2.3533515461198751e-06 7.292318990144045e-06 2.0757017549323927e-05   
17 85 0.004442681620331639 1.4699959273983325 4.875313334417101e-07 1.0690694620299789e-06 4.7902842616540535e-06 1.7480743385654e-05   
18 90 0.0038261188612785826 1.2557151414964463 4.875313334417101e-07 1.5680916760481267e-06 4.875752947426276e-06 2.211316285991569e-05   
19 95 0.0031006711592768983 1.3289751409043822 4.875313334417101e-07 1.6316104817325895e-06 4.617412745061123e-06 1.0033600865743002e-05   
20 100 0.0023693688265269833 1.3785179354216792 4.875313334417101e-07 5.5548833740983325e-07 1.5267748370172708e-06 8.400547232711869e-06   
