% # columns="iteration, evaluation, void, void, void, xmean", seed=907976, Mon Apr 25 11:35:39 2022, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 5 0 0 0 0.03523749108588355 0.010546050851546418
2 10 0 0 0 0.015498331500980546 0.019126956229580896
3 15 0 0 0 -0.028666100834819776 0.025548225132762458
4 20 0 0 0 -0.015441279123601798 0.0030657662265335638
5 25 0 0 0 -3.826726696065999e-05 0.028525989290729192
6 30 0 0 0 0.0017437080781015045 0.0011538230406100136
7 35 0 0 0 -0.005689730024498596 0.00948865578800202
8 40 0 0 0 -0.004826446625147094 0.009559585241970918
9 45 0 0 0 -0.002073283555710202 0.010690153910384859
10 50 0 0 0 0.0016685655459168893 0.00373563266370445
11 55 0 0 0 0.00011259473593334133 0.0037756045703107918
12 60 0 0 0 -0.0006184843196560476 0.0002593970441454735
13 65 0 0 0 -0.0017895959116143675 0.0001626650005898616
14 70 0 0 0 0.0005287442354418941 0.00015757757254578216
15 75 0 0 0 0.0005226481076940988 0.0001969262686359068
16 80 0 0 0 0.0003938807323051011 0.001478729528886747
17 85 0 0 0 -0.00026947488940155166 0.0007107663212489051
18 90 0 0 0 -5.214923156432013e-05 0.0005440026865758056
19 95 0 0 0 -0.0002510890221686377 -5.441986842795389e-05
20 100 0 0 0 0.00032548123740511604 -0.00012491567182334052
20 100 0 0 0 0.00032548123740511604 -0.00012491567182334052
