% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=1036692, Mon Apr 25 15:07:46 2022
1 5 -0.0193357153614537 -0.0193357153614537 0 0 1 1
2 10 -0.05569009919985736 -0.05569009919985736 0 0 1 1
3 15 0 0 0.020773896804836354 0.020773896804836354 1 1
4 20 -0.0863106818905986 -0.0863106818905986 0 0 1 1
5 25 -0.21735479320861462 -0.21735479320861462 0 0 1 1
6 30 -0.24316528579662441 -0.24316528579662444 0 0 1 1
7 35 -0.22128638571811415 -0.22128638571811415 0 0 1 1
8 40 -0.15307678415043785 -0.15307678415043785 0 0 1 1
9 45 -0.039348153383370194 -0.039348153383370194 0 0 1 1
10 50 0 0 0.08041749573499143 0.08041749573499143 1 1
11 55 -0.10751950750593188 -0.10751950750593187 0 0 1 1
12 60 -0.05243643272196691 -0.052436432721966915 0 0 1 1
13 65 -0.07084914888654632 -0.07084914888654632 0 0 1 1
14 70 -0.23161925073788164 -0.23161925073788164 0 0 1 1
15 75 0 0 0.046090968998575586 0.046090968998575586 1 1
16 80 -0.19798951800968964 -0.19798951800968964 0 0 1 1
17 85 -0.10816446965392927 -0.10816446965392927 0 0 1 1
18 90 0 0 0.026325444173555434 0.026325444173555434 1 1
19 95 0 0 0.08291624051144861 0.08291624051144861 1 1
20 100 -0.03851380239823585 -0.03851380239823585 0 0 1 1
20 100 -0.03851380239823585 -0.03851380239823585 0 0 1 1
