% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=155568, Wed Apr 27 11:58:58 2022, <python>{}</python>
1 5 0.06599598788015411 0 0 0.05709640115277228 0.06309520338477217
2 10 0.05869487841454974 0 0 0.04865030472108484 0.05259178212600833
3 15 0.04270089306736836 0 0 0.03300138200290045 0.03478597876525173
4 20 0.03621571210891491 0 0 0.026279441983861885 0.028169685468224206
5 25 0.025252606637266268 0 0 0.017315419540738775 0.01730198857719104
6 30 0.020192209060508205 0 0 0.012993009653280284 0.012831941110007246
7 35 0.01461826854854342 0 0 0.00869661311174879 0.008399048964254589
8 40 0.013314326048560395 0 0 0.0076372992147190335 0.0071581649198384015
9 45 0.009099674802502176 0 0 0.0046130233503458105 0.0045809885020333145
10 50 0.007852769442432517 0 0 0.003734724983972455 0.0037756175837870085
11 55 0.007176759977435894 0 0 0.00335408445672354 0.0031289462464902822
12 60 0.007724268005716021 0 0 0.003825101263628905 0.003327375659295366
13 65 0.006134093230359337 0 0 0.0027423704969156727 0.002464335359324653
14 70 0.004822462612563345 0 0 0.002124357384776882 0.0016641542712893323
15 75 0.00525492417165527 0 0 0.002207607716258594 0.001847998823679677
16 80 0.004145200746239777 0 0 0.0016640055445755557 0.0012718009841295016
17 85 0.0037194747424448894 0 0 0.0014749003125156233 0.0010274540812953044
18 90 0.0025197336552756373 0 0 0.000969013607560603 0.00058612824967435
19 95 0.001586151899299102 0 0 0.000553535539028245 0.00033227637693346366
20 100 0.0019289936304021174 0 0 0.000625615037455948 0.0004778032979377219
20 100 0.0019289936304021174 0 0 0.000625615037455948 0.0004778032979377219
